Date,Clicks,total clicks,Actions,Total Actions,Sale Amount,Total Sales,Action Earnings,Total Earnings,Earnings,EPA,EPC,Conversion Rate,AOV
"Jun 30, 2024",3,381,0,75,0.00,"2,070.97",0.00,72.50,0.00,0.00,0.00,0.00%,0.00
"Jun 29, 2024",3,384,0,75,0.00,"2,070.97",0.00,72.50,0.00,0.00,0.00,0.00%,0.00
"Jun 28, 2024",4,388,0,75,0.00,"2,070.97",0.00,72.50,0.00,0.00,0.00,0.00%,0.00
"Jun 27, 2024",4,392,0,75,0.00,"2,070.97",0.00,72.50,0.00,0.00,0.00,0.00%,0.00
"Jun 26, 2024",3,395,0,75,0.00,"2,070.97",0.00,72.50,0.00,0.00,0.00,0.00%,0.00
"Jun 25, 2024",4,399,0,75,0.00,"2,070.97",0.00,72.50,0.00,0.00,0.00,0.00%,0.00
"Jun 24, 2024",7,406,0,75,0.00,"2,070.97",0.00,72.50,0.00,0.00,0.00,0.00%,0.00
"Jun 23, 2024",1,407,0,75,0.00,"2,070.97",0.00,72.50,0.00,0.00,0.00,0.00%,0.00
"Jul 9, 2024",2,409,2,77,48.23,"2,119.20",1.68,74.18,1.68,0.84,0.84,100.00%,24.12
"Jul 8, 2024",9,418,2,79,83.36,"2,202.56",2.92,77.10,2.92,1.46,0.32,22.22%,41.68
"Jul 7, 2024",12,430,1,80,76.17,"2,278.73",2.67,79.77,2.67,2.67,0.22,8.33%,76.17
"Jul 6, 2024",8,438,2,82,151.15,"2,429.88",5.29,85.06,5.29,2.65,0.66,25.00%,75.58
"Jul 5, 2024",5,443,0,82,0.00,"2,429.88",0.00,85.06,0.00,0.00,0.00,0.00%,0.00
"Jul 4, 2024",8,451,0,82,0.00,"2,429.88",0.00,85.06,0.00,0.00,0.00,0.00%,0.00
"Jul 31, 2024",7,458,0,82,0.00,"2,429.88",0.00,85.06,0.00,0.00,0.00,0.00%,0.00
"Jul 30, 2024",9,467,0,82,0.00,"2,429.88",0.00,85.06,0.00,0.00,0.00,0.00%,0.00
"Jul 3, 2024",3,470,0,82,0.00,"2,429.88",0.00,85.06,0.00,0.00,0.00,0.00%,0.00
"Jul 29, 2024",5,475,0,82,0.00,"2,429.88",0.00,85.06,0.00,0.00,0.00,0.00%,0.00
"Jul 28, 2024",5,480,0,82,0.00,"2,429.88",0.00,85.06,0.00,0.00,0.00,0.00%,0.00
"Jul 27, 2024",9,489,1,83,33.75,"2,463.63",1.18,86.24,1.18,1.18,0.13,11.11%,33.75
"Jul 26, 2024",6,495,1,84,19.42,"2,483.05",0.68,86.92,0.68,0.68,0.11,16.67%,19.42
"Jul 25, 2024",3,498,0,84,0.00,"2,483.05",0.00,86.92,0.00,0.00,0.00,0.00%,0.00
"Jul 24, 2024",2,500,0,84,0.00,"2,483.05",0.00,86.92,0.00,0.00,0.00,0.00%,0.00
"Jul 23, 2024",5,505,1,85,40.10,"2,523.15",1.40,88.32,1.40,1.40,0.28,20.00%,40.10
"Jul 22, 2024",8,513,1,86,0.08,"2,523.23",0.00,88.32,0.00,0.00,0.00,12.50%,0.08
"Jul 21, 2024",8,521,0,86,0.00,"2,523.23",0.00,88.32,0.00,0.00,0.00,0.00%,0.00
"Jul 20, 2024",8,529,0,86,0.00,"2,523.23",0.00,88.32,0.00,0.00,0.00,0.00%,0.00
"Jul 2, 2024",4,533,0,86,0.00,"2,523.23",0.00,88.32,0.00,0.00,0.00,0.00%,0.00
"Jul 19, 2024",11,544,0,86,0.00,"2,523.23",0.00,88.32,0.00,0.00,0.00,0.00%,0.00
"Jul 18, 2024",9,553,0,86,0.00,"2,523.23",0.00,88.32,0.00,0.00,0.00,0.00%,0.00
"Jul 17, 2024",5,558,0,86,0.00,"2,523.23",0.00,88.32,0.00,0.00,0.00,0.00%,0.00
"Jul 16, 2024",5,563,0,86,0.00,"2,523.23",0.00,88.32,0.00,0.00,0.00,0.00%,0.00
"Jul 15, 2024",4,567,0,86,0.00,"2,523.23",0.00,88.32,0.00,0.00,0.00,0.00%,0.00
"Jul 14, 2024",7,574,0,86,0.00,"2,523.23",0.00,88.32,0.00,0.00,0.00,0.00%,0.00
"Jul 13, 2024",4,578,2,88,244.84,"2,768.07",8.57,96.89,8.57,4.29,2.14,50.00%,122.42
"Jul 12, 2024",6,584,0,88,0.00,"2,768.07",0.00,96.89,0.00,0.00,0.00,0.00%,0.00
"Jul 11, 2024",5,589,0,88,0.00,"2,768.07",0.00,96.89,0.00,0.00,0.00,0.00%,0.00
"Jul 10, 2024",4,593,1,89,7.70,"2,775.77",0.27,97.16,0.27,0.27,0.07,25.00%,7.70
"Jul 1, 2024",3,596,0,89,0.00,"2,775.77",0.00,97.16,0.00,0.00,0.00,0.00%,0.00
"Aug 9, 2024",4,600,0,89,0.00,"2,775.77",0.00,97.16,0.00,0.00,0.00,0.00%,0.00
"Aug 8, 2024",5,605,0,89,0.00,"2,775.77",0.00,97.16,0.00,0.00,0.00,0.00%,0.00
"Aug 7, 2024",5,610,0,89,0.00,"2,775.77",0.00,97.16,0.00,0.00,0.00,0.00%,0.00
"Aug 6, 2024",7,617,1,90,5.85,"2,781.62",0.20,97.36,0.20,0.20,0.03,14.29%,5.85
"Aug 5, 2024",9,626,1,91,6.66,"2,788.28",0.23,97.59,0.23,0.23,0.03,11.11%,6.66
"Aug 4, 2024",5,631,3,94,42.61,"2,830.89",1.49,99.08,1.49,0.50,0.30,60.00%,14.20
"Aug 31, 2024",15,646,1,95,6.56,"2,837.45",0.23,99.31,0.23,0.23,0.02,6.67%,6.56
"Aug 30, 2024",5,651,0,95,0.00,"2,837.45",0.00,99.31,0.00,0.00,0.00,0.00%,0.00
"Aug 3, 2024",6,657,0,95,0.00,"2,837.45",0.00,99.31,0.00,0.00,0.00,0.00%,0.00
"Aug 29, 2024",5,662,1,96,8.15,"2,845.60",0.29,99.60,0.29,0.29,0.06,20.00%,8.15
"Aug 28, 2024",7,669,1,97,19.29,"2,864.89",0.68,100.28,0.68,0.68,0.10,14.29%,19.29
"Aug 27, 2024",7,676,0,97,0.00,"2,864.89",0.00,100.28,0.00,0.00,0.00,0.00%,0.00
"Aug 26, 2024",3,679,0,97,0.00,"2,864.89",0.00,100.28,0.00,0.00,0.00,0.00%,0.00
"Aug 25, 2024",3,682,1,98,5.19,"2,870.08",0.18,100.46,0.18,0.18,0.06,33.33%,5.19
"Aug 24, 2024",3,685,0,98,0.00,"2,870.08",0.00,100.46,0.00,0.00,0.00,0.00%,0.00
"Aug 23, 2024",8,693,1,99,14.35,"2,884.43",0.50,100.96,0.50,0.50,0.06,12.50%,14.35
"Aug 22, 2024",6,699,1,100,96.00,"2,980.43",3.36,104.32,3.36,3.36,0.56,16.67%,96.00
"Aug 21, 2024",4,703,1,101,94.67,"3,075.10",3.31,107.63,3.31,3.31,0.83,25.00%,94.67
"Aug 20, 2024",7,710,1,102,25.65,"3,100.75",0.90,108.53,0.90,0.90,0.13,14.29%,25.65
"Aug 2, 2024",6,716,0,102,0.00,"3,100.75",0.00,108.53,0.00,0.00,0.00,0.00%,0.00
"Aug 19, 2024",10,726,1,103,54.45,"3,155.20",1.91,110.44,1.91,1.91,0.19,10.00%,54.45
"Aug 18, 2024",2,728,0,103,0.00,"3,155.20",0.00,110.44,0.00,0.00,0.00,0.00%,0.00
"Aug 17, 2024",5,733,1,104,90.00,"3,245.20",3.15,113.59,3.15,3.15,0.63,20.00%,90.00
"Aug 16, 2024",3,736,0,104,0.00,"3,245.20",0.00,113.59,0.00,0.00,0.00,0.00%,0.00
"Aug 15, 2024",2,738,0,104,0.00,"3,245.20",0.00,113.59,0.00,0.00,0.00,0.00%,0.00
"Aug 14, 2024",4,742,0,104,0.00,"3,245.20",0.00,113.59,0.00,0.00,0.00,0.00%,0.00
"Aug 13, 2024",5,747,0,104,0.00,"3,245.20",0.00,113.59,0.00,0.00,0.00,0.00%,0.00
"Aug 12, 2024",5,752,0,104,0.00,"3,245.20",0.00,113.59,0.00,0.00,0.00,0.00%,0.00
"Aug 11, 2024",7,759,1,105,43.42,"3,288.62",1.52,115.11,1.52,1.52,0.22,14.29%,43.42
"Aug 10, 2024",5,764,0,105,0.00,"3,288.62",0.00,115.11,0.00,0.00,0.00,0.00%,0.00
"Aug 1, 2024",5,769,1,106,11.76,"3,300.38",0.41,115.52,0.41,0.41,0.08,20.00%,11.76
